
Equipo         : CLASIFICADOR_ESPIRAS_04 
Lugar          : -35.5183, -58.2964      
Descripcion    : RP20 Ranchos            
Fecha Inicio   : 14/12/24 10:37:46       
Archivo        : REG00166.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : Chascomus -Ranchos      
        VIA 2  : Ranchos - Chascomus     
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
11:48:19 1 0 2 053 0738 0.63
11:48:36 1 0 2 044 0579 0.78
11:48:44 1 0 1 075 0783 0.82
11:48:54 1 0 1 077 0515 1.07
11:49:13 1 0 1 078 0517 1.20
11:49:32 1 0 2 084 1024 0.61
11:51:06 1 0 1 016 0043 0.05
11:51:42 1 0 1 061 0507 1.05
11:53:30 1 0 2 072 0449 1.09
11:54:05 1 0 2 073 0474 1.24
11:55:10 1 0 2 082 0532 1.24
11:58:41 1 0 2 081 0528 1.24
11:58:56 1 0 1 076 0598 0.36
11:59:03 1 0 1 099 0504 1.01
11:59:12 1 0 2 073 0471 1.08
11:59:58 1 0 2 065 0568 1.02
12:00:12 1 0 2 077 0634 1.35
12:00:14 1 0 2 064 0490 1.18
12:02:02 1 0 2 094 0622 1.03
12:03:11 1 0 1 075 0542 0.62
12:03:35 1 0 1 066 0474 1.24
12:03:54 1 0 2 083 0572 0.55
12:05:11 1 0 1 077 0501 0.92
12:06:00 1 0 2 066 0659 0.71
12:06:23 1 0 1 096 0549 0.90
12:06:35 1 0 2 036 0490 0.95
12:06:38 1 0 2 046 0502 1.10
12:06:44 1 0 2 075 0501 1.51
12:07:10 1 0 2 063 0525 1.14
12:07:32 1 0 2 085 0517 1.18
12:07:53 1 0 1 059 0493 1.23
12:08:00 1 0 2 066 0944 0.59
12:09:05 1 0 1 081 0531 0.81
12:09:07 1 0 1 065 0505 0.98
12:09:37 1 0 2 071 0581 0.54
12:10:02 1 0 2 053 0886 0.53
12:10:18 1 0 2 055 0524 1.48
12:10:29 1 0 1 068 0453 0.97
12:10:55 1 0 1 074 0475 1.03
12:11:45 1 0 2 077 0539 1.19
12:13:40 1 0 1 080 0459 0.76
12:13:52 1 0 1 075 0591 0.79
12:14:36 1 0 2 080 0567 0.53
12:14:37 1 0 2 072 0486 1.24
12:15:14 1 0 2 054 0477 0.97
12:15:28 1 0 2 084 0472 1.17
12:15:50 1 0 2 078 0511 1.42
12:16:00 1 0 1 075 0570 0.34
12:16:01 1 0 1 078 0506 1.23
12:16:14 1 3 1 000 0000 0.06
12:16:34 1 0 2 057 0478 1.33
12:17:00 1 0 2 074 0475 1.43
12:17:11 1 0 2 063 0508 1.42
12:18:36 1 0 1 081 0592 0.53
12:19:36 1 1 2 062 0293 0.12
12:19:36 1 0 1 063 0480 0.57
12:20:01 1 0 1 094 0459 1.19
12:20:43 1 0 1 058 0452 0.97
12:21:38 1 0 1 042 0454 1.16
12:21:42 1 0 2 071 0497 0.67
12:23:00 1 1 2 065 0311 0.12
12:23:00 1 0 1 065 0514 0.74
12:23:54 1 0 2 063 0845 0.75
12:24:31 1 0 1 102 0486 0.95
12:24:46 1 0 1 072 0511 1.25
12:24:58 1 0 2 091 0496 1.04
12:25:10 1 0 1 069 0668 1.12
12:25:12 1 0 2 120 0589 0.73
12:25:20 1 0 1 083 0707 1.06
12:25:30 1 0 1 077 0526 1.34
12:25:33 1 0 1 072 0481 1.31
12:25:38 1 0 2 059 0556 0.89
12:26:17 1 0 1 071 0479 0.72
12:26:29 1 0 2 078 0459 1.45
12:27:57 1 0 2 084 0595 0.95
12:28:16 1 0 2 082 0523 1.58
12:28:21 1 0 1 082 0490 1.07
12:29:16 1 0 1 072 0475 1.13
12:29:57 1 0 1 075 0570 0.89
12:30:38 1 0 2 075 0519 0.66
12:31:37 1 0 2 064 0534 0.92
12:33:11 1 0 2 054 0469 1.06
12:33:15 1 0 2 067 0542 1.22
12:34:21 1 0 1 106 0583 0.58
12:34:38 1 0 2 063 0461 1.12
12:34:44 1 0 1 072 0513 1.28
12:36:02 1 0 1 059 2207 0.41
12:36:11 1 0 2 073 0467 0.98
12:36:11 1 0 1 061 2197 0.44
12:36:18 1 0 1 064 2130 0.41
12:37:36 1 0 2 068 0176 0.06
12:37:37 1 0 2 068 0148 0.08
12:37:43 1 0 2 118 0059 0.07
12:38:15 1 0 2 092 0539 1.13
12:39:05 1 0 1 073 0470 0.78
12:39:25 1 0 1 074 0499 1.43
12:39:27 1 0 1 080 0492 0.83
12:40:44 1 0 2 083 0527 0.46
12:40:56 1 0 2 068 0598 0.96
12:42:19 1 0 1 090 0512 0.93
12:42:33 1 0 1 075 0542 0.85
12:42:37 1 0 1 090 0541 1.52
12:44:40 1 0 1 057 0483 0.86
12:44:41 1 0 1 081 0311 0.26
12:44:41 1 1 2 081 0367 0.22
12:44:50 1 0 1 069 0646 1.15
12:44:52 1 0 1 074 0536 1.24
12:45:09 1 0 1 056 0588 0.81
12:45:40 1 0 2 016 0060 0.07
12:46:46 1 0 2 072 0565 0.81
12:47:55 1 0 1 065 0538 1.05
12:48:56 1 0 1 052 0464 0.95
12:49:59 1 0 2 072 0469 0.95
12:50:00 1 0 2 070 0587 0.84
12:50:13 1 0 1 106 0551 0.81
12:51:49 1 0 2 058 0508 0.94
12:52:01 1 0 1 072 0599 0.62
12:52:35 1 0 2 114 0603 0.53
12:52:39 1 0 2 078 0479 1.26
12:53:20 1 0 1 122 0574 0.47
12:53:55 1 0 1 084 0529 1.18
12:54:04 1 0 2 062 0547 0.99
12:55:27 1 0 1 063 0497 0.71
12:57:02 1 0 2 054 0479 1.27
12:57:47 1 0 2 094 0485 1.45
12:57:54 1 0 2 121 0569 1.08
12:59:04 1 0 1 080 0602 0.56
12:59:06 1 0 2 115 0590 0.76
12:59:13 1 0 2 083 0556 1.32
12:59:29 1 0 1 064 0501 1.17
12:59:36 1 0 2 034 1678 0.42
12:59:50 1 0 1 067 0570 0.65
13:00:55 1 0 1 105 0662 0.52
13:01:27 1 1 2 042 0414 0.11
13:01:27 1 0 1 042 0479 0.26
13:02:02 1 0 2 070 0449 1.13
13:03:42 1 0 1 065 0544 0.98
13:03:53 1 0 1 071 0143 0.07
13:04:10 1 0 1 062 0639 0.76
13:04:35 1 0 2 055 0503 0.80
13:04:45 1 0 2 067 0531 1.38
13:05:27 1 0 1 065 0453 0.78
13:05:40 1 0 2 076 0841 1.34
13:05:47 1 0 1 063 0580 1.10
13:05:59 1 0 1 064 1332 0.45
13:06:02 1 0 1 068 0449 1.19
13:06:58 1 0 2 096 0600 0.79
13:07:06 1 0 2 103 0600 0.91
13:07:22 1 0 2 073 0280 0.10
13:07:22 1 1 1 072 0513 0.62
13:08:25 1 1 2 087 0287 0.11
13:08:25 1 0 1 087 0484 0.72
13:08:43 1 0 1 085 0504 1.09
13:08:45 1 0 1 087 0551 0.78
13:08:55 1 0 2 066 0804 0.55
13:09:04 1 0 2 070 0579 0.82
13:09:48 1 0 1 088 0451 0.52
13:10:04 1 0 2 085 0477 0.88
13:10:20 1 0 1 071 0164 0.11
13:10:21 1 0 1 074 0165 0.09
13:10:22 1 0 1 083 0166 0.08
13:10:43 1 0 2 087 0546 1.08
13:10:50 1 0 1 082 0571 0.80
13:12:12 1 0 2 080 0591 0.78
13:12:33 1 0 1 085 0619 0.68
13:12:33 1 0 2 068 0803 0.69
13:12:37 1 0 2 082 0528 1.07
13:12:37 1 3 1 000 0000 0.06
13:12:45 1 0 2 072 0699 1.18
13:13:03 1 0 2 058 1809 0.43
13:13:04 1 0 1 055 1867 0.39
13:13:13 1 0 2 061 1999 0.48
