
Equipo         : CLASIFICADOR_ESPIRAS_05 
Lugar          : -37.1258, -58.5592      
Descripcion    : RP50 Ayacucho           
Fecha Inicio   : 15/12/24 00:00:00       
Archivo        : REG00232.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : Ranchos - Ayacucho      
        VIA 2  : Ayacucho - Ranchos      
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
00:16:06 1 0 1 076 0533 0.43
00:23:21 1 0 2 051 0454 1.12
00:25:41 1 0 2 050 0471 1.09
00:25:44 1 0 2 053 0556 0.64
00:30:27 1 0 1 067 0490 1.03
00:31:47 1 0 1 044 0678 0.75
00:39:07 1 0 2 074 0552 0.72
00:41:39 1 0 2 053 0521 0.52
00:46:46 1 0 1 055 0460 0.78
00:55:51 1 0 1 082 0560 0.72
01:07:52 1 0 2 043 0545 0.68
01:14:46 1 0 2 055 0541 0.82
01:24:24 1 0 2 065 0498 1.23
01:24:39 1 0 2 076 0506 1.48
01:27:52 1 0 1 057 0429 0.73
01:31:09 1 0 1 050 0386 0.80
01:48:18 1 0 1 097 0531 1.20
01:55:11 1 0 2 043 0447 1.15
02:10:49 1 0 1 076 0458 0.92
02:25:02 1 0 1 082 0546 0.38
02:26:09 1 0 1 069 0538 0.55
02:31:47 1 0 1 041 1386 0.42
02:33:30 1 0 2 059 0468 1.16
02:56:02 1 0 2 058 0452 1.12
02:56:08 1 0 2 077 0526 0.55
02:59:54 1 0 1 036 0000 0.17
02:59:55 1 0 1 034 0106 1.08
03:00:33 1 0 2 063 0486 0.99
03:02:55 1 0 1 056 0446 0.52
03:04:02 1 0 1 049 0563 0.88
03:17:34 1 0 1 052 0537 0.58
03:18:24 1 0 2 078 0434 1.07
03:27:26 1 0 1 058 0437 0.97
03:27:30 1 0 1 044 0434 1.11
03:57:17 1 0 2 050 0504 1.38
04:22:10 1 0 2 062 0786 0.55
04:33:09 1 0 1 066 0654 0.79
04:38:36 1 0 1 033 1557 1.34
04:42:21 1 0 2 070 0482 1.14
04:51:56 1 0 1 057 0453 0.97
04:57:12 1 0 2 047 1906 0.49
04:59:51 1 0 2 063 0462 1.05
05:05:53 1 2 1 000 0000 1.55
05:06:46 1 3 1 000 0000 0.22
05:07:44 1 0 2 059 0520 1.40
05:09:43 1 0 2 054 0578 0.95
05:14:22 1 0 2 071 0479 1.09
05:18:08 1 0 2 064 0543 0.75
05:19:31 1 0 2 063 0522 1.36
05:25:25 1 0 1 039 1496 1.46
05:36:21 1 0 1 060 0473 0.92
05:42:53 1 0 2 070 0527 1.44
05:49:17 1 0 2 065 0473 0.75
05:52:11 1 0 2 077 0575 0.62
05:57:48 1 0 2 061 0599 0.74
05:58:08 1 0 1 075 0458 0.88
06:02:14 1 0 2 061 0583 0.74
06:02:38 1 0 2 056 0796 0.94
