
Equipo         : CLASIFICADOR_ESPIRAS_05 
Lugar          : -37.1258, -58.5592      
Descripcion    : RP50 Ayacucho           
Fecha Inicio   : 14/12/24 12:27:27       
Archivo        : REG00230.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : Ranchos - Ayacucho      
        VIA 2  : Ayacucho - Ranchos      
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
12:27:57 1 0 1 064 0489 0.42
12:28:00 1 0 1 063 1002 0.90
12:28:20 1 0 2 053 1053 0.82
12:28:26 1 0 2 022 0461 1.06
12:28:41 1 0 2 068 0456 1.03
12:29:41 1 0 2 061 0521 1.14
12:30:14 1 0 1 055 0517 1.29
12:30:19 1 0 1 079 0502 1.21
12:30:21 1 0 2 078 0526 0.82
12:31:04 1 0 1 067 0532 1.45
12:31:55 1 0 2 070 0431 1.16
12:32:50 1 0 2 065 0466 1.26
12:32:55 1 0 2 068 0506 1.08
12:34:41 1 0 2 076 0451 1.12
12:35:10 1 0 2 068 0500 1.20
12:36:18 1 0 2 044 1940 0.33
12:37:47 1 0 1 083 0477 0.86
12:37:49 1 0 2 025 0945 0.41
12:38:38 1 0 2 088 0535 1.14
12:39:59 1 0 1 076 0652 0.73
12:40:03 1 0 1 074 0559 0.86
12:40:06 1 0 1 070 0569 0.71
12:40:16 1 0 1 084 0580 0.70
12:40:19 1 0 1 087 0567 0.90
12:40:23 1 0 1 082 0601 0.87
12:40:38 1 0 1 086 0519 1.23
12:40:43 1 0 1 082 0462 0.89
12:41:20 1 0 2 065 0475 1.23
12:42:32 1 0 2 087 0585 0.91
12:42:42 1 0 2 093 0558 0.97
12:43:22 1 0 2 084 0580 0.86
12:43:48 1 0 2 052 0963 0.89
12:43:50 1 0 2 050 0472 0.96
12:43:50 1 0 2 055 0482 1.20
12:44:14 1 0 2 059 0554 0.94
12:44:16 1 0 1 052 0464 1.19
12:44:18 1 0 2 060 0495 1.31
12:44:34 1 0 2 096 0565 0.92
12:47:15 1 0 1 081 0479 0.81
12:48:04 1 0 2 073 0493 1.10
12:48:42 1 0 2 060 0527 0.78
12:48:48 1 0 1 065 0507 1.11
12:49:30 1 0 2 059 0545 0.93
12:49:59 1 0 1 094 0550 0.46
12:50:02 1 0 1 074 0583 0.92
12:50:45 1 0 1 084 0575 0.78
12:52:27 1 0 1 055 0448 0.68
12:52:55 1 0 2 068 0491 0.99
12:53:16 1 0 2 053 0772 0.48
12:53:27 1 0 1 067 0566 0.75
12:53:36 1 0 2 078 0546 1.40
12:53:49 1 0 2 079 0497 1.30
12:53:58 1 0 2 081 0533 0.79
12:54:33 1 0 2 077 0550 0.90
12:55:41 1 0 1 065 0471 0.96
12:56:52 1 0 2 065 0792 0.30
12:56:57 1 0 1 086 0542 0.72
12:58:04 1 0 1 103 0526 1.11
