
Equipo         : CLASIFICADOR_ESPIRAS_05 
Lugar          : -37.1258, -58.5592      
Descripcion    : RP50 Ayacucho           
Fecha Inicio   : 14/12/24 00:00:00       
Archivo        : REG00229.TXT            
# Esclavos     : 1                       
    Esclavo   1: ESCLAVO 1 DEFAULT       
        VIA 1  : Ranchos - Ayacucho      
        VIA 2  : Ayacucho - Ranchos      
                                                                                                                         

hora (hh:mm:ss)
|        esclavo (1-2)
|        | sentido(0:mano 1:c.mano 2:A 3:B)
|        | | via (1-2)
|        | | | velocidad (Km/h)
|        | | | |   longitud (cm)
|        | | | |   |    desviacion (%)
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
|        | | | |   |    |
V        V V V V   V    V
                                                                                                                                                            
00:00:49 1 0 1 068 0618 0.97
00:06:17 1 0 2 064 0472 1.27
00:09:39 1 0 1 051 0492 1.29
00:12:59 1 0 2 083 0518 1.24
00:21:44 1 0 1 025 0896 0.46
00:46:12 1 0 1 075 0484 1.05
00:51:20 1 0 2 067 0504 1.33
00:57:22 1 0 1 036 1801 0.37
01:07:33 1 0 2 065 0535 1.50
01:08:31 1 0 2 050 0517 0.49
01:15:32 1 0 1 050 0481 1.12
01:23:07 1 0 2 070 0513 1.44
01:24:46 1 0 2 061 0517 0.82
01:28:13 1 0 2 066 0533 0.72
01:35:07 1 0 1 060 0569 0.76
01:40:28 1 0 2 060 0512 1.12
01:54:05 1 0 2 057 0478 1.06
01:55:41 1 0 1 082 0507 0.90
01:56:28 1 0 1 077 0575 0.69
01:58:27 1 0 2 068 0548 0.83
02:28:42 1 0 2 061 0549 0.65
02:40:25 1 0 1 059 0559 0.66
02:40:48 1 0 1 042 0489 1.30
02:41:04 1 0 2 048 2136 0.38
02:56:27 1 3 1 000 0000 0.04
02:56:39 1 2 1 000 0000 0.28
02:57:36 1 3 1 000 0000 0.24
03:04:11 1 0 1 049 0508 0.80
03:15:03 1 0 2 065 0472 0.98
03:36:00 1 0 2 057 0500 0.70
03:44:39 1 0 2 061 0468 1.25
04:00:53 1 0 2 056 0504 1.44
04:02:31 1 0 1 072 0517 1.09
04:13:08 1 0 1 052 0566 0.80
04:20:19 1 0 2 046 0693 1.00
04:20:19 1 1 1 065 0510 0.37
04:33:47 1 0 2 059 0517 1.11
04:34:54 1 0 2 059 0569 0.51
04:39:07 1 0 1 063 0461 1.12
04:47:41 1 0 1 100 0502 0.96
04:52:11 1 0 2 048 0428 1.08
04:56:50 1 0 1 048 0464 0.91
05:01:00 1 0 1 046 1710 0.84
05:01:02 1 0 1 044 0504 1.07
05:02:58 1 0 2 050 0567 0.72
05:07:26 1 0 2 054 1240 0.94
05:13:05 1 0 1 048 1527 1.34
05:15:26 1 0 2 066 0488 1.25
05:22:25 1 0 2 052 0569 0.74
05:26:50 1 0 1 041 2022 0.40
05:28:43 1 0 2 060 0520 1.05
05:39:53 1 0 1 075 0466 0.94
05:45:42 1 0 2 060 0671 0.46
05:46:04 1 0 2 083 0578 0.91
05:56:41 1 0 1 053 1938 0.59
05:57:12 1 0 1 078 0688 0.83
05:59:28 1 0 2 052 0950 0.41
06:06:30 1 0 2 113 7376 0.35
